attacker,bot_type,categories,sandwich_count,usd_profit_net,usd_avg_profit,sol_profit_net,fee_sol_total,win_rate,sol_win_rate,mean_slippage_consumption,slippage_coverage,front_gap_median,front_gap_eq1_ratio,in_block_count,cross_block_count,cross_leader_count,multi_split_count,jito_bundle_count,first_slot,last_slot,expert_verdict,n_signing_keys
G66piJfqyA2i6d5KXvBTVj1zonPwNpSPoaRF71vMZoaq,Signal Bot,standard,225,2178.28874325645,9.681283303362,27.22860929070562,0.243672033,0.9639175257731959,0.9639175257731959,0.9408775482390916,0.96,63.0,0.008888888888888889,24,201,95,0,0,409855287,409885517,yes,1
3z6XerLKkDwmiU3aiuPCcFgkhmfret8AM6EmPtGxi71d,Signal Bot,standard,352,2156.183759140038,6.125522043011472,26.952296989250478,0.008142352,0.9565217391304348,0.9565217391304348,0.9589929214870452,0.9602272727272727,61.5,0.022727272727272728,76,276,129,0,0,427811758,428107659,yes,1
BbVXSVWEYcd6riP97fW5Dk4W6dfgMQjPvnVaDYqF81dj,Signal Bot,standard,779,2079.489750479995,2.669434852991008,25.99362188099994,0.103702,0.9822888283378747,0.9822888283378747,0.9663790951060249,0.962772785622593,35.0,0.10526315789473684,5,774,535,0,0,410907330,427856624,yes,1
8Fz9Y1ma3dSUKbpEtUkn5Abmd52HAPM5X3XYun1L7S6S,Signal Bot,standard,494,1997.80844320002,4.044146646153886,24.97260554000025,0.860348297,0.9265658747300216,0.9265658747300216,0.9429228031686313,0.8866396761133604,71.0,0.030364372469635626,43,451,306,0,0,414881061,428111538,yes,1
D1hS4zJXnoxpCWA6fwEBxPASvDmW9ALf3gNFyMTdoB5n,Signal Bot,standard,867,1960.09761335997,2.2607815609688235,24.501220166999627,0.47530999999999995,0.8579335793357934,0.8579335793357934,0.9024590676751255,0.8638985005767013,74.0,0.0922722029988466,0,867,540,0,0,424273688,428089182,yes,1
EgJ8bUTtE9MJCtfXH3qdNe1w1cQ1NYfWhESNgZKYFDad,Signal Bot,standard,136,1909.9504420000078,14.043753250000057,23.8743805250001,0.192286688,0.8897058823529411,0.8897058823529411,0.9598808590319072,0.9632352941176471,6.0,0.14705882352941177,43,93,29,0,0,413481724,416616112,yes,1
8zZxwiXtKtceBc8sgUefaBmGsPpMLH8Mv8LyEJ1AzxHa,Signal Bot,standard,134,1791.6367844000301,13.37042376417933,22.395459805000375,0.59034,0.8515625,0.8515625,0.9472842326751876,0.9402985074626866,54.5,0.029850746268656716,1,133,107,0,0,408753653,420197526,yes,1
8dXb8GDfpyusig3NyshPLebfRCnQ3MaVodzeYZBjgatC,Signal Bot,standard,592,1765.7435623193617,2.982674936350273,21.957332431992008,0.23960014000000002,0.9692028985507246,0.9706959706959707,0.9602931007484656,0.8952702702702703,54.0,0.015202702702702704,41,551,356,0,0,410851815,423605901,yes,1
6opA5DdsF6o6yrmJx5LQtcmA9MzQC2cTYs2Ui1fhraHd,Signal Bot,standard,394,1761.3072531927382,4.470322977646544,22.01634066490923,0.229477,0.9157303370786517,0.9157303370786517,0.9052203270335678,0.8248730964467005,61.5,0.09137055837563451,22,372,253,0,0,421950415,422597409,yes,1
13j3sXVhNr5xJihjSkVenBztRMWuYixpMt3hCCWPSxiC,Signal Bot,standard,884,1742.1965801600547,1.970810611040786,21.777457252000683,0.25034,0.9857988165680474,0.9857988165680474,0.956306164135557,0.9343891402714932,67.5,0.07918552036199095,3,881,620,0,0,410621299,428065075,yes,1
AkEqXWhYnnDGc4txbd3Y1CjAH6bVGoEhvgEV7N9f6fpS,Signal Bot,standard,128,1571.9694653600045,12.281011448125035,19.649618317000055,0.776530514,0.9752066115702479,0.9752066115702479,0.9567438747274699,0.90625,12.0,0.109375,0,128,71,0,0,418482028,422204644,yes,1
BfuLYm4MLM34qskDStNTwB2ZM2JkNR3gWZpsohHDbArk,Signal Bot,standard,101,1543.4411517599958,15.281595561980156,19.293014396999947,0.935181264,1.0,1.0,0.9490586941170197,0.693069306930693,13.0,0.0594059405940594,0,101,50,0,0,410807827,423724504,yes,1
9ycFMq9J4jUhZTt4M3dapSGLGvJR4rFqmkqDRQPVeAH7,Signal Bot,standard,448,1518.8949248000065,3.3903904571428716,18.986186560000082,0.1652304,0.9655963302752294,0.9655963302752294,0.9749897363401723,0.9598214285714286,21.5,0.09151785714285714,13,435,299,0,0,410805622,426891135,yes,1
2HpEemeT7HawRakzj3ckwfPxmgPnji6z7z9yox1sNR8D,Signal Bot,standard,140,1509.5758580485222,10.782684700346588,18.869698225606527,1.071871085,0.9264705882352942,0.9264705882352942,0.9796416545147241,0.9285714285714286,12.0,0.09285714285714286,22,118,79,0,0,417962993,421032203,yes,1
GVJp1bkQgw3QdXBmvWRBK5SaXcr3kzf45SfrvRDobQQE,Signal Bot,standard,106,1461.867083215498,13.791198898259415,18.273338540193727,0.339858148,0.9655172413793104,0.9655172413793104,0.9485055080691884,0.7830188679245284,63.5,0.09433962264150944,8,98,76,0,0,410254524,427964962,yes,1
ApRp9W3HWMogxVfyzZojxKurbcSwYszq6JLVRd6vbqsK,Signal Bot,standard,229,1458.553823114173,6.369230668620842,18.23192278892716,0.012610076,0.9489795918367347,0.9489795918367347,0.9583898985425073,0.9432314410480349,70.0,0.008733624454148471,30,199,99,0,0,410523426,410879708,yes,1
HhVSgc49N2FPeA8FCLbkQPLdnNCRohnPv3x9qRpp1E7C,Signal Bot,standard,433,1438.8167832799634,3.322902501801301,17.98520979099954,0.28713,0.9759615384615384,0.9759615384615384,0.9581372946946247,0.9237875288683602,66.0,0.06697459584295612,1,432,281,0,0,408771226,409954426,yes,1
79MoTXF84kAwcKZ3e6T4vTHBUvvzeXyh4ygKTRsuLvCr,Signal Bot,standard,818,1397.1496991201082,1.7080069671394966,17.465413189001374,0.234874906,0.9653465346534653,0.967741935483871,0.9689292262093718,0.9572127139364304,55.0,0.04523227383863081,88,730,474,0,0,408728554,426361168,yes,1
DrewDojWtqw9pncKzuBBQD2p8nLWFhcYWV3qUnrAJhjT,Signal Bot,standard,171,1377.7794448800246,8.057189736140495,16.355305411000206,0.12141,0.9929078014184397,0.9924242424242424,0.952091049687592,0.9181286549707602,49.0,0.05263157894736842,10,161,101,0,0,408820112,425890818,yes,1
3dxumrqyTTobqtoWZz7ujnh1vpJMCKj2hUo65r3tnXHM,Signal Bot,standard,123,1344.2083146400005,10.928522883252036,16.802603933000007,0.27709669,0.8925619834710744,0.8925619834710744,0.9527103232423999,0.9512195121951219,53.0,0.016260162601626018,42,81,36,0,0,416692095,418002291,yes,1
5Qw1sRieunyYXDjrY5VjN2JHqqYxKARfjzrrSydEMzDX,Signal Bot,standard,161,1302.3738158902415,8.089278359566718,16.27967269862802,0.04779,0.9767441860465116,0.9767441860465116,0.9696822489337793,0.782608695652174,60.0,0.043478260869565216,13,148,84,0,0,410324332,421269721,yes,1
AbSSFc4bSytcu5kTUR9HpUJhM72TVRdFn3Q4zh2Avzm5,Signal Bot,standard,291,1277.831018480004,4.391171884811011,15.972887731000053,2.17431,0.8888888888888888,0.8888888888888888,0.964055434428127,0.9347079037800687,20.0,0.1134020618556701,49,242,151,0,0,410136778,421269129,yes,1
3Y9TwcxxA5L33pbvpgLT3HWkVtD6sMRMcj4ojLM8FaDF,Signal Bot,standard,275,1234.957221876819,4.490753534097523,15.436965273460237,0.145172,0.8846153846153846,0.8846153846153846,0.9001785481775476,0.8254545454545454,23.0,0.12727272727272726,55,220,142,0,0,422163552,422619239,yes,1
AkFPD9JzmBaMMkeMDNyvYzovKkBrZAyyrujQnMTMNPRP,Signal Bot,standard,796,1224.2836437600815,1.5380447785930673,15.070432813000895,0.42610275200000003,0.9564660691421255,0.9560155239327296,0.9635817166047344,0.8982412060301508,37.0,0.0678391959798995,158,638,355,0,0,413136694,428028688,yes,1
EHCRWxmvP6ZQkHmHbSpC9AJRi4XukoTiSNSx8yBkXKFA,Signal Bot,standard,514,1154.5278288000075,2.2461630910505983,14.431597860000092,0.0067848000000000006,0.8826185101580135,0.8826185101580135,0.9426083136473741,0.9260700389105059,43.0,0.07976653696498054,0,514,362,0,0,413866172,420023302,yes,1
SLrkDC3uSHPzVPR4b8JmigFqwMUBpdGbYip2YGxpWMn,Signal Bot,standard,274,1042.5914068799993,3.8050781272992675,13.032392585999991,0.5805400000000001,0.8783269961977186,0.8783269961977186,0.929559179010496,0.9416058394160584,45.0,0.043795620437956206,44,230,139,0,0,409846851,426719483,yes,1
