front_signer,epoch,n,victims,usd,fee_sol,usd_net
AsS8EHRHaASB7AGPNKWU3zLuT34uh4A1dVgYNfbHTZtk,959,1,1,12.299969920000002,0.000157,12.287409920000002
AsfCLZBYj1kdkUVjXikH9iN6XWUfVkCiiRnpMJ8oi6dd,978,1,1,13.126928879999653,0.000157,13.114368879999653
AvkDW4NfxAEh9YfVJ85w5mm6vKT8X5QzwG8aoK1Tt6n6,961,1,1,2490.8345623634377,1e-05,2490.833762363438
B2NzDf7woauyZyrgYAvd9RCjPsWMSpVQzceuh74LbVeZ,973,1,1,11.233158560000298,0.000157,11.220598560000298
B2iwTVtL3nXYFuqzsGNVLM8kTNmDAQ2oupM2A4k2QLe1,973,1,1,10.884112160000008,0.000157,10.871552160000007
B9Z2Z2VzTJ6ArUNLdoGEG3YtXjk5EGph2pkVj4r2SGeC,958,1,1,13.118000000000016,0.000157,13.105440000000016
BBHHgCPdTMZLezZv2ZeaC9cuUujBbJs325yfvspM77NM,981,1,1,12.604471279999991,0.000157,12.59191127999999
BFDjgvkZ4tVMB3YfztDSybhhKGJ2SQq4dWd5PZ8JWUyX,977,1,1,10.876450479999988,0.000157,10.863890479999988
BHDpPkjzMpMY2v9xYHgLF49FHPaNcWV8dRaM1MDJNSEW,961,1,1,1382.4506193071093,1e-05,1382.4498193071092
BJK6JPy59pEofKCuvf7UXtK3T3u6XUsVpvmYK9xSV5DW,980,1,1,14.25624863999996,0.000157,14.24368863999996
BJvmTjCVNkysJKVwNPS3WdB5FZKD99VH7o1MEwZ73nmh,988,1,1,17.765487680000014,0.000157,17.752927680000013
BR7ag37dE45UPUSpj4YfZ5T6pmj65PCiREwYB1V1Eydp,985,1,1,12.652269360000332,0.000157,12.639709360000332
BRfncpgHyLAGRfxJ2GNoMAu2su3CNRPQZDit44LUpKY8,971,1,1,10.962669680000019,0.000157,10.950109680000018
BewqJyDwYbJpmxXy3ra5Vxpj4ZfAzpX2Uy83pCeKEJRN,978,1,1,10.848117439999996,0.000157,10.835557439999995
BshUa8W7RXeRva9Vsx6j6rDa3mhejHX42YxKxwToCEeF,960,1,1,10.99997192,0.000157,10.98741192
C4RrfntDriEsmPNWM4MxB4fSaaPYPENpsBK9NnncyrkX,971,1,1,10.323963999999997,0.000157,10.311403999999996
CHB8S9CrVP3e7ULUimqeFYynpMShfXbX4aidwP7ny5fc,973,1,1,32.0281835047471,1e-05,32.0273835047471
CLpu5bJqBMcBe3f2oSbbDH29S6dnbFENDEXz4fFLoRp9,974,1,1,0.9938766174992171,1e-05,0.993076617499217
CpRimLkHsNEPVQvUpDMibbZ8NmZF1VTnV36qugmjnR9F,961,1,1,988.0701617088303,1e-05,988.0693617088302
CvxtzN1TaCVSSq2E5AFP5ACwCLJdk29B3TSbnw6XvZtu,990,1,1,19.626675039999988,0.000157,19.614115039999987
Cxp9rZUtGpFFAVJzktk798srfyBsJAGJoFeHq1AbAMdD,973,1,1,1.1750579849520548,1e-05,1.174257984952055
CyoxDLEmSREqzzAEhVaTTKMnLuzczq9SsoguZSpUbKjy,970,1,1,12.338745119999999,0.000157,12.326185119999998
D1Z1HTWe9Dy3fcFF17tSMTH97nZeVk6GriA4U5whMksZ,986,1,1,14.888789119999615,0.000157,14.876229119999614
