front_signer,epoch,n,victims,usd
Bru12xbbfnHoTecTFrPWpi9TeDyx5kBgHW4aPyipxFeK,955,1,2,-0.3775001638470954
BsGEAgVENVrrfvafhU3yUcsjEbpDBzGkuktLQn7z5XZQ,959,1,2,-0.020225112072463913
BsfZMbRP3GqhXbQzjvKv9nBU1KzWiWfj79HePXUMuMEC,960,1,2,-0.004018408202537405
BshUa8W7RXeRva9Vsx6j6rDa3mhejHX42YxKxwToCEeF,960,1,1,10.99997192
BwCNjPYtfKEU3huT3EJoDr7ccNynWoA6kHxDRSFBySYN,957,1,1,-0.0644513102637867
BdyabsWjtH83dsDV6Q1yvr1eQeKVWCXaAiP49oVkArVr,959,1,1,-0.007248208285887681
AmA3bPwkdjgVmeLcbxa8jXdBp9ZKF2ghg3DpDsGgRhzr,959,1,1,11.66407264
AmWvRiYQ5tstZq8JRsSSDb9dCT1TdALjsvuByCFGjfn7,958,1,2,-0.0042774584171666186
AnJSxndw1nuNgo7zxcSAaNZCECBZq8i7hBkMCjFq2DkH,958,1,2,0.04932559881718035
AnY15nbZoyUQESFMpABC5xETiQADW3CdUPzT6thv81QA,958,1,1,-0.32712715474591647
Angr3v1FNtLrnzcNbPFf4iV5aiqTZWC2e8Wnb2htbxuo,958,1,2,-0.07331391680217791
AsS8EHRHaASB7AGPNKWU3zLuT34uh4A1dVgYNfbHTZtk,959,1,1,12.299969920000002
Ash1WFKXBWxjmBud72yHtyhnnbv2mqbuVsosEk7zztiu,960,1,2,-0.019051754722277936
AtKShD7DDf6XT7cAZVMg8vBdUVeZJovCS1JFzas3S6qn,959,1,2,-0.05751586028967193
AuZqTcnXMrmbPjXcxX4UM1JNkmA12q65gzNoELTu7SYA,957,1,1,-0.0075503660089479285
AxEk3CbU1hq9yVcEjmWWrUPgkZXVxQnk7eb9GJq4LPBV,952,1,1,-0.14779228946450118
AxmqMtLqK1jcaD92d72evssJveistAafSYZBS1Ty5HtT,957,1,1,0.08693094761007103
BLmNvRKapzVoiMQCqXLhDY8GS9rz3i79gA3WNxpg1JmX,957,1,2,-0.027143471812574038
B67kZR8sZuuSQMg1H72ov1tYb4UKeVXits8uvDnVHaeB,947,1,2,-0.023608089119443454
B6d9mLNySnzsCSS5MSvR6sRTVJPhcEQhMyX38AoVUHDJ,957,1,1,-0.13129710215293855
B7j9Djzumw9XP4qLwc9cXqqzxftzipafWqFyKrh3NWoo,957,1,1,-0.06580208131487852
B7wZiAMjXsj17cxne2AM5rz1fgFANAULRvoUVMb7KBZN,960,1,2,-0.006689102111041845
B8FWg622BtcBwM5psP3vVpwZRy3X4J9Jjz8uAkJuXtj4,949,1,1,-0.0071499585558176815
B9Z2Z2VzTJ6ArUNLdoGEG3YtXjk5EGph2pkVj4r2SGeC,958,1,1,13.118000000000016
BDT2QWpqxxLRPBE4Zimcayuft5LCWAa4QWnDRJFuLhH3,960,1,2,-0.07184579086699783
BE63446uxWYuW5yCqhm9t53mYRvGrGxd34jkmc3bvFDU,952,1,2,-0.10586753488112333
BGzfggSox8bZXC1P9NvFvBT6UgoyyJ3nk2jDcdJn88Xa,957,1,1,-0.05588344560435443
BHk27GWuVp7umu5AGotDGR8LgsQpcXpJDyaA5AT6MBH6,957,1,2,-0.13566631156230358
BKGdrxZGdVZUYSZbDaWWr695fco8RQiEB2r9rjyHGWii,957,1,2,-0.018542414063296153
B3wkcGA1Ftxu8VNjcF5gQsm4Y7CcfCLVipJWwkbBgufH,957,1,1,-0.050432540800571246
CYQfS8GfDin5C6Tdkpe63N4BPgq8Yu32GfjfvyqPbTza,959,1,2,-0.03910138767328597
CZXHrg2RcSLhtVutT7F266KQskCTQZvphNcyrMM9iDgH,957,1,2,-0.061365747456676445
CcMiUjgQ6u9Z8s7EnKp6qBK3m2PEfi7GennEhYaZSjJZ,947,1,1,-0.00012839532269257048
CcfCYJv4ty8zyKL18VWHdihVreE22CRX9mqGJhDnJtpD,952,1,2,-0.03170685038585308
CdhrqfPsh8dECfsJNeZZoMX7cwXsCrTZ9WUJnG5GMJvt,947,1,2,-0.10117929437052808
CeVzgKdHJfjoiQ2YXGemFJA2X2uZJiEEpkPkuyjyzg5L,960,1,2,-0.014953068532493896
